Date,Value
2006-01-03,1.0
2006-01-04,2.0
2006-01-05,3.0
2006-01-06,4.0
2006-01-09,5.0
2006-01-10,6.0
2006-01-11,7.0
2006-01-12,8.0
2006-02-07,-9.0
2006-02-08,-8.0
2006-02-09,-7.0
2006-02-10,-6.0
2006-02-13,-5.0
2006-02-14,-4.0
2006-02-15,-3.0
2006-02-16,-2.0
2006-02-17,-1.0
2006-02-21,1.0
2006-02-22,2.0
2006-02-23,3.0
2006-02-24,4.0
2006-02-27,5.0
2006-02-28,6.0
2006-03-01,7.0
2006-03-02,8.0
2006-05-16,-9.0
2006-05-17,-8.0
2006-05-18,-7.0
2006-05-19,-6.0
2006-05-22,-5.0
2006-05-23,-4.0
2006-05-24,-3.0
2006-05-25,-2.0
2006-05-26,-1.0
2006-05-30,1.0
2006-05-31,2.0
2006-06-01,3.0
2006-06-02,4.0
2006-06-05,5.0
2006-06-06,6.0
2006-06-07,7.0
2006-06-08,8.0
2006-06-21,-9.0
2006-06-22,-8.0
2006-06-23,-7.0
2006-06-26,-6.0
2006-06-27,-5.0
2006-06-28,-4.0
2006-06-29,-3.0
2006-06-30,-2.0
2006-07-03,-1.0
2006-07-05,1.0
2006-07-06,2.0
2006-07-07,3.0
2006-07-10,4.0
2006-07-11,5.0
2006-07-12,6.0
2006-07-13,7.0
2006-07-14,8.0
2006-08-22,-9.0
2006-08-23,-8.0
2006-08-24,-7.0
2006-08-25,-6.0
2006-08-28,-5.0
2006-08-29,-4.0
2006-08-30,-3.0
2006-08-31,-2.0
2006-09-01,-1.0
2006-09-05,1.0
2006-09-06,2.0
2006-09-07,3.0
2006-09-08,4.0
2006-09-11,5.0
2006-09-12,6.0
2006-09-13,7.0
2006-09-14,8.0
2006-11-10,-9.0
2006-11-13,-8.0
2006-11-14,-7.0
2006-11-15,-6.0
2006-11-16,-5.0
2006-11-17,-4.0
2006-11-20,-3.0
2006-11-21,-2.0
2006-11-22,-1.0
2006-11-24,1.0
2006-11-27,2.0
2006-11-28,3.0
2006-11-29,4.0
2006-11-30,5.0
2006-12-01,6.0
2006-12-04,7.0
2006-12-05,8.0
2006-12-12,-9.0
2006-12-13,-8.0
2006-12-14,-7.0
2006-12-15,-6.0
2006-12-18,-5.0
2006-12-19,-9.0
2006-12-20,-8.0
2006-12-21,-7.0
2006-12-22,-6.0
2006-12-26,-4.0
2006-12-27,-3.0
2006-12-28,-2.0
2006-12-29,-1.0
2007-01-03,1.0
2007-01-04,2.0
2007-01-05,3.0
2007-01-08,4.0
2007-01-09,5.0
2007-01-10,6.0
2007-01-11,7.0
2007-01-12,8.0
2007-02-06,-9.0
2007-02-07,-8.0
2007-02-08,-7.0
2007-02-09,-6.0
2007-02-12,-5.0
2007-02-13,-4.0
2007-02-14,-3.0
2007-02-15,-2.0
2007-02-16,-1.0
2007-02-20,1.0
2007-02-21,2.0
2007-02-22,3.0
2007-02-23,4.0
2007-02-26,5.0
2007-02-27,6.0
2007-02-28,7.0
2007-03-01,8.0
2007-05-15,-9.0
2007-05-16,-8.0
2007-05-17,-7.0
2007-05-18,-6.0
2007-05-21,-5.0
2007-05-22,-4.0
2007-05-23,-3.0
2007-05-24,-2.0
2007-05-25,-1.0
2007-05-29,1.0
2007-05-30,2.0
2007-05-31,3.0
2007-06-01,4.0
2007-06-04,5.0
2007-06-05,6.0
2007-06-06,7.0
2007-06-07,8.0
2007-06-21,-9.0
2007-06-22,-8.0
2007-06-25,-7.0
2007-06-26,-6.0
2007-06-27,-5.0
2007-06-28,-4.0
2007-06-29,-3.0
2007-07-02,-2.0
2007-07-03,-1.0
2007-07-05,1.0
2007-07-06,2.0
2007-07-09,3.0
2007-07-10,4.0
2007-07-11,5.0
2007-07-12,6.0
2007-07-13,7.0
2007-07-16,8.0
2007-08-21,-9.0
2007-08-22,-8.0
2007-08-23,-7.0
2007-08-24,-6.0
2007-08-27,-5.0
2007-08-28,-4.0
2007-08-29,-3.0
2007-08-30,-2.0
2007-08-31,-1.0
2007-09-04,1.0
2007-09-05,2.0
2007-09-06,3.0
2007-09-07,4.0
2007-09-10,5.0
2007-09-11,6.0
2007-09-12,7.0
2007-09-13,8.0
2007-11-09,-9.0
2007-11-12,-8.0
2007-11-13,-7.0
2007-11-14,-6.0
2007-11-15,-5.0
2007-11-16,-4.0
2007-11-19,-3.0
2007-11-20,-2.0
2007-11-21,-1.0
2007-11-23,1.0
2007-11-26,2.0
2007-11-27,3.0
2007-11-28,4.0
2007-11-29,5.0
2007-11-30,6.0
2007-12-03,7.0
2007-12-04,8.0
2007-12-12,-9.0
2007-12-13,-8.0
2007-12-14,-7.0
2007-12-17,-6.0
2007-12-18,-5.0
2007-12-19,-9.0
2007-12-20,-8.0
2007-12-21,-7.0
2007-12-24,-6.0
2007-12-26,-4.0
2007-12-27,-3.0
2007-12-28,-2.0
2007-12-31,-1.0
2008-01-02,1.0
2008-01-03,2.0
2008-01-04,3.0
2008-01-07,4.0
2008-01-08,5.0
2008-01-09,6.0
2008-01-10,7.0
2008-01-11,8.0
2008-02-05,-9.0
2008-02-06,-8.0
2008-02-07,-7.0
2008-02-08,-6.0
2008-02-11,-5.0
